customer_id,cluster,cluster_label
CUS1,0,Mainstream customer
CUS10,0,Mainstream customer
CUS100,0,Mainstream customer
CUS1000,1,Discount customer
CUS10000,1,Discount customer
CUS1001,0,Mainstream customer
CUS1002,1,Discount customer
CUS1003,0,Mainstream customer
CUS1004,0,Mainstream customer
CUS1005,1,Discount customer
CUS1006,1,Discount customer
CUS1007,1,Discount customer
CUS1008,1,Discount customer
CUS1009,0,Mainstream customer
CUS101,0,Mainstream customer
CUS1010,0,Mainstream customer
CUS1011,1,Discount customer
CUS1012,2,Premium Bremen Niche
CUS1013,1,Discount customer
CUS1014,0,Mainstream customer
CUS1015,0,Mainstream customer
CUS1016,0,Mainstream customer
CUS1017,0,Mainstream customer
CUS1018,0,Mainstream customer
CUS1019,1,Discount customer
CUS102,1,Discount customer
CUS1020,1,Discount customer
CUS1021,1,Discount customer
CUS1022,1,Discount customer
CUS1023,0,Mainstream customer
CUS1024,1,Discount customer
CUS1025,0,Mainstream customer
CUS1026,2,Premium Bremen Niche
CUS1027,0,Mainstream customer
CUS1028,1,Discount customer
CUS1029,0,Mainstream customer
CUS103,0,Mainstream customer
CUS1030,1,Discount customer
CUS1031,1,Discount customer
CUS1032,1,Discount customer
CUS1033,0,Mainstream customer
CUS1034,0,Mainstream customer
CUS1035,0,Mainstream customer
CUS1036,0,Mainstream customer
CUS1037,1,Discount customer
CUS1038,1,Discount customer
CUS1039,0,Mainstream customer
CUS104,0,Mainstream customer
CUS1040,0,Mainstream customer
CUS1041,0,Mainstream customer
CUS1042,1,Discount customer
CUS1043,0,Mainstream customer
CUS1044,2,Premium Bremen Niche
CUS1045,1,Discount customer
CUS1046,0,Mainstream customer
CUS1047,0,Mainstream customer
CUS1048,1,Discount customer
CUS1049,1,Discount customer
CUS105,0,Mainstream customer
CUS1050,0,Mainstream customer
CUS1051,0,Mainstream customer
CUS1052,1,Discount customer
CUS1053,1,Discount customer
CUS1054,0,Mainstream customer
CUS1055,0,Mainstream customer
CUS1056,0,Mainstream customer
CUS1057,1,Discount customer
CUS1058,0,Mainstream customer
CUS1059,1,Discount customer
CUS106,0,Mainstream customer
CUS1060,0,Mainstream customer
CUS1061,0,Mainstream customer
CUS1062,1,Discount customer
CUS1063,0,Mainstream customer
CUS1064,0,Mainstream customer
CUS1065,0,Mainstream customer
CUS1066,0,Mainstream customer
CUS1067,0,Mainstream customer
CUS1068,0,Mainstream customer
CUS1069,0,Mainstream customer
CUS107,1,Discount customer
CUS1070,0,Mainstream customer
CUS1071,0,Mainstream customer
CUS1072,1,Discount customer
CUS1073,0,Mainstream customer
CUS1074,0,Mainstream customer
CUS1075,0,Mainstream customer
CUS1076,1,Discount customer
CUS1077,0,Mainstream customer
CUS1078,1,Discount customer
CUS1079,0,Mainstream customer
CUS108,0,Mainstream customer
CUS1080,0,Mainstream customer
CUS1081,0,Mainstream customer
CUS1082,1,Discount customer
CUS1083,0,Mainstream customer
CUS1084,1,Discount customer
